Well ,Caliper Date
AW1 Deep,10/19/2021
AW1 Old,10/29/2021
AW1 Shallow,10/18/2021
AW2 Deep,10/20/2021
AW2 Old,10/29/2021
AW2 Shallow,10/19/2021
AW3 Old,10/30/2021
AW5 Deep,11/12/2021
AW5 Old,10/30/2021
AW5 Shallow,11/12/2021
AW6 Deep,11/6/2021
AW6 Old,File_without_date
AW6 Shallow,11/6/2021
AW7 Deep,10/21/2021
AW7 Old,10/29/2021
AW7 Shallow,10/22/2021
BW1 Deep,9/28/2021
BW1 Shallow,9/25/2021
BW10 Deep,09/22/2021 Y OTRO 10/02/2021
BW10 Shallow,10/2/2021
BW11 Deep,11/12/2021
BW11 Shallow,11/12/2021
BW2 Deep,10/13/2021
BW2 Shallow,10/13/2021 hay dos repeticiones por qué?
BW3 Deep,9/21/2021
BW3 Shallow,NO DATA
BW4 Deep,9/18/2021
BW4 Shallow,9/18/2021
BW5 Deep,10/7/2021
BW5 Shallow,10/5/2021
BW6 Deep,9/30/2021
BW6 Shallow,9/30/2021
BW7 Deep,9/22/2021
BW7 Shallow,9/22/2021
BW8 Deep,NO DATA
BW8 Shallow,NO DATA
BW9 Deep,NO DATA
BW9 Shallow ,NO DATA
LRS33 Deep,10/14/2021
LRS33 Shallow ,10/14/2021
LRS65 Deep,10/2/2021
LRS65 Shallow,9/23/2021
LRS69 Deep,9/22/2021
LRS69 Old,NA
LRS69 Shallow,9/21/2021
LRS70 Deep,10/16/2021
LRS70 Shallow,10/16/2021
LRS75 Deep,10/4/2021
LRS75 Shallow,10/4/2021
LRS79 Deep,10/6/2021
LRS79 Shallow,10/6/2021
LRS81 Deep,NO DATA
LRS81 Shallow,NO DATA
LRS89 Deep,10/8/2021
LRS89 Shallow,10/8/2021
LRS90 Deep,NO DATA
LRS90 Shallow,NO DATA
