filename,mean,std,cv,min,max,median,25%,50%,75%,iqr
AW1D_YSI_20230826_filter.csv,1605.7941733975968,215.3061004938612,0.1340807583317536,1302.0,3101.5,1528.4,1515.8,1528.4,1635.5,119.70000000000005
AW2D_YSI_20230815_filter.csv,487.8563611491108,148.42220134911074,0.3042334038640243,389.0,1058.75,438.3,408.825,438.3,463.125,54.30000000000001
AW5D_YSI_20230824_filter.csv,872.2799739011698,245.92197221101011,0.281930090761058,685.1,1607.65,747.3583333333333,707.6083333333333,747.3583333333333,950.0,242.39166666666665
AW6D_YSI_20230815_filter.csv,909.3548212374224,837.7846560053729,0.9212956663773345,96.8,3713.3,447.1,433.3,447.1,1213.6,780.3
AW7D_YSI_20230814_filter.csv,799.9380294885244,433.2050040652622,0.5415482051056516,331.31428571428575,2274.0,632.3,514.5,632.3,988.1,473.6
BW10D_YSI_20230825_filter.csv,3015.2635996135614,2141.526921137143,0.7102287579141017,1275.9,9283.6,1644.4,1296.7,1644.4,5651.25,4354.55
BW11D_YSI_20230823_filter.csv,740.4314838812387,661.700824454208,0.8936692170160897,456.9,4488.4,489.9,466.2,489.9,589.8499999999999,123.64999999999992
BW1D_YSI_20230824_filter.csv,3032.1844849329123,230.5104609038114,0.07602125202118482,2467.9,3541.7,3031.9,3019.2,3031.9,3040.85,21.65000000000009
BW2D_YSI_20230819_filter.csv,959.5150508814393,427.668146855338,0.4457128071753218,384.4,2760.8,757.6500000000001,699.3,757.6500000000001,1162.7,463.4000000000001
BW3D_YSI_20230818_filter.csv,1007.4166958619944,733.4462731094932,0.7280465731034178,488.8,4562.1,528.6,515.5,528.6,1422.5,907.0
BW4D_YSI_20230816_filter.csv,965.6334199098776,202.52549040906007,0.20973330689814126,396.2,1638.6,1049.1,1022.9,1049.1,1058.7,35.80000000000007
BW5D_YSI_20230822_filter.csv,7427.23985822527,2858.0802582896245,0.3848105504663962,1763.2,14235.3,6875.549999999999,5541.45,6875.549999999999,8828.875,3287.425
BW6D_YSI_20230826_filter.csv,629.1524588137818,310.7013882867555,0.4938411730481971,386.7,1595.2,531.8,524.625,531.8,532.7,8.075000000000045
BW7D_YSI_20230826_filter.csv,1291.2144457781321,306.23534591369804,0.2371684633137369,1016.8,2038.5,1098.9,1081.1,1098.9,1555.8,474.70000000000005
BW8D_YSI_20230823_filter.csv,1152.9751183247265,557.7599741069463,0.48375716461025786,278.5,4810.8,864.95,856.6,864.95,1498.2,641.6
BW9D_YSI_20230823_filter.csv,2774.915391871022,1646.1688671337088,0.5932320934743017,1024.3,7086.1,2291.55,1395.875,2291.55,3682.975,2287.1
LRS33D_YSI_20230822_filter.csv,1837.2301036947179,229.90676603744197,0.12513770897564405,1663.7,2346.3,1705.5500000000002,1695.2,1705.5500000000002,2017.4875,322.2874999999999
LRS65D_YSI_20230827_filter.csv,592.6382870505207,26.66453130790489,0.044992927204569585,444.8,624.4,593.5,590.4,593.5,603.0,12.600000000000023
LRS69D_YSI_20230818_filter.csv,777.8396570904548,217.03265861015151,0.27901979107361563,361.6,1606.2,854.7328237410072,672.85,854.7328237410072,861.9,189.04999999999995
LRS70D_YSI_20230822_filter.csv,514.9954900630147,183.39246019156735,0.3561049829176708,423.6,1336.5,437.0,428.8,437.0,482.8,54.0
LRS75D_YSI_20230819_filter.csv,980.2800775944295,31.33957391305032,0.0319700202313164,965.2,1272.5,968.1,965.7,968.1,977.9,12.199999999999932
LRS79D_YSI_20230827_filter.csv,1432.9316520306918,151.4663158982834,0.10570379660720843,1143.2,1924.6,1413.7,1304.6,1413.7,1553.9,249.30000000000018
LRS81D_YSI_20230823_filter.csv,664.9761954846763,266.0773831923047,0.4001306888863455,323.4,2206.9,598.2,592.7,598.2,626.1,33.39999999999998
LRS89D_YSI_20230825_filter.csv,743.1461903759443,280.38903489758246,0.37729996941212696,367.9,1878.4,579.8499999999999,550.4,579.8499999999999,966.575,416.17500000000007
LRS90D_YSI_20230827_filter.csv,715.3922797260984,34.83630938379508,0.048695394640172564,654.7,804.3,700.0,695.2,700.0,729.3499999999999,34.149999999999864
