well_id,cluster_id,depth_median,depth_min,depth_max,agreement,persistence,cluster_diameter_m,wide_flag,has_caliper_match,is_converging,n_caliper_zones_matched,multi_match_flag,max_matched_severity,all_matched_severities,severity_weight_max,convergence_score,best_match_zone_id,best_match_severity,best_match_overlap_m,best_match_center_distance_m,best_match_thickness_m,best_match_peak_excess_cm,best_match_z_top,best_match_z_bot
LRS70D,3,8.915728132546384,8.687666165020282,9.884925402512758,9,18,1.1972592374924762,False,False,False,0,False,,,0.0,0.0,,,,,,,,
LRS70D,4,13.273720601278,11.669219481070906,14.15935548006568,9,18,2.490135998994776,True,True,True,1,False,mild,mild,1.0,9.0,88,mild,0.030388559999998677,0.47914495872199936,0.0303885599999986,2.17055825800648,13.76805984,13.73767128
LRS70D,2,4.711666449657384,4.185353782610022,5.755848174765544,8,16,1.5704943921555214,False,True,True,2,True,mild,mild,1.0,8.0,81,mild,0.13265393476554355,1.1394572303426163,0.4558588800000009,2.9305104204652217,6.079053120000001,5.62319424
LRS70D,0,2.64545386749045,1.864605566841579,3.0651995220397703,6,12,1.2005939551981912,False,False,False,0,False,,,0.0,0.0,,,,,,,,
LRS70D,6,22.45772399126969,21.8826583950143,23.057304954455176,5,11,1.1746465594408768,False,True,True,1,False,severe,severe,3.0,15.0,89,severe,1.1746465594408768,2.155514151269692,11.30558064,10.685137049477238,25.95500016,14.64941952
AW5D,6,14.068425086680758,13.708401704475346,14.070540855384053,5,14,0.3621391509087068,False,True,True,3,True,mild,mild,1.0,5.0,6,mild,0.211315335384052,0.011643446680757563,0.3951122399999995,4.585745607260254,14.25433776,13.85922552
AW5D,7,14.646798090459717,14.642370322872694,14.95707282189839,5,14,0.3147024990256959,False,True,True,1,False,mild,mild,1.0,5.0,7,mild,0.0,0.24051753045971225,0.12155424,2.1303916008933825,14.467057680000002,14.345503440000002
AW5D,9,18.659675379024392,18.091234530256628,18.733061516844344,4,11,0.6418269865877164,False,False,False,0,False,,,0.0,0.0,,,,,,,,
AW5D,10,21.22220636117869,20.367312789701803,22.008215008225548,4,11,1.6409022185237454,False,True,True,1,False,mild,mild,1.0,4.0,8,mild,0.060777120000000906,0.6907495588213131,0.0607771200000009,2.987112727801552,21.94334448,21.88256736
AW6D,6,10.754826174854063,9.993864996446757,11.840941829844796,9,18,1.84707683339804,False,True,True,1,False,moderate,moderate,2.0,18.0,14,moderate,1.677201323553243,0.05628521485406246,1.9450507199999996,8.056363098209602,11.67106632,9.7260156
AW6D,9,17.671793249045788,16.59231866790704,18.62076447298837,8,16,2.0284458050813257,True,True,True,2,True,mild,mild,1.0,8.0,16,mild,0.09119615999999908,0.4543118090457874,0.091196159999999,2.634016941151014,17.26307952,17.171883360000002
AW6D,7,14.50892583810094,13.17506973330097,14.59346219793004,7,15,1.4183924646290684,False,True,True,1,False,mild,mild,1.0,7.0,15,mild,0.12155424000000004,0.7712545581009387,0.12155424,2.0688046775447084,13.7984484,13.67689416
BW3D,1,8.710535275442012,7.8209077707746975,8.972063519722067,9,18,1.1511557489473692,False,False,False,0,False,,,0.0,0.0,,,,,,,,
BW3D,3,12.87239544375946,11.60385395115919,13.788445755654443,8,16,2.1845918044952555,True,True,True,2,True,mild,mild,1.0,8.0,32,mild,0.15194280000000226,0.3663447637594608,0.1519428000000022,3.0563967281935405,12.582022080000002,12.43007928
BW3D,10,23.6267619309187,23.051430172166143,23.781134015374764,7,14,0.7297038432086183,False,True,True,3,True,severe,"mild,severe",3.0,21.0,44,severe,0.04600902783385763,0.7420731309187012,0.4255008000000018,15.181954898534311,23.0974392,22.6719384
BW3D,8,20.53246578863489,20.170090879463125,21.35429133560705,5,13,1.1842004561439303,False,True,True,1,False,mild,mild,1.0,5.0,43,mild,0.34407688053687835,1.6442383886348892,3.2518807200000026,3.554028305121051,20.514167760000003,17.26228704
BW3D,5,17.649577441703627,17.344548418438908,17.84955963420276,4,9,0.5050112157638509,False,True,True,1,False,mild,mild,1.0,4.0,43,mild,0.5050112157638509,1.2386499582963744,3.2518807200000026,3.554028305121051,20.514167760000003,17.26228704
LRS69D,1,8.296627553377927,8.048880467971221,8.687779724796947,9,18,0.6388992568257255,False,False,False,0,False,,,0.0,0.0,,,,,,,,
LRS69D,2,10.77426946959713,10.202453755773687,11.103356987694784,6,13,0.900903231921097,False,True,True,3,True,mild,mild,1.0,6.0,69,mild,0.3647236800000009,0.10739533040286986,0.3647236800000009,3.7357206413031774,11.064026640000002,10.69930296
LRS69D,6,15.014618379223862,14.690386446587327,15.52762879402188,6,13,0.8372423474345521,False,False,False,0,False,,,0.0,0.0,,,,,,,,
LRS69D,13,24.568716524091748,24.22433575038632,24.618154522818102,5,10,0.3938187724317856,False,False,False,0,False,,,0.0,0.0,,,,,,,,
LRS69D,9,19.150278880356066,18.76049126094658,19.19961263644221,4,8,0.4391213754956311,False,False,False,0,False,,,0.0,0.0,,,,,,,,
LRS69D,10,20.056054789801596,20.007080234355836,20.15141787419406,4,8,0.144337639838227,False,True,True,1,False,mild,mild,1.0,4.0,72,mild,0.0,0.16334374980159794,0.2127503999999973,4.759830528884347,19.99908624,19.786335840000003
