well_id,z_top,z_bot,z_centre,thickness_m,severity,peak_excess_cm
BW3D,5.44003992,0.942133752,3.191086836,4.497906168,moderate,6.288791449930873
BW3D,11.06244168,10.91049888,10.98647028,0.1519427999999987,moderate,5.208704748852721
BW3D,25.2855984,25.10326704,25.19443272,0.1823313600000027,severe,11.286492481519351
LRS69D,3.86126736,3.19265808,3.52696272,0.6686092799999996,moderate,5.711517481359344
LRS69D,6.17101128,6.07981512,6.125413200000001,0.0911961599999999,moderate,5.190943585075026
LRS69D,7.26509088,7.143536640000001,7.20431376,0.1215542399999991,moderate,5.207737802447998
LRS69D,25.834207920000004,25.74304224,25.788625080000003,0.0911656800000031,moderate,6.314233034192236
LRS69D,26.5028172,25.89498504,26.19890112,0.6078321599999974,moderate,6.109331145260326
LRS70D,7.29471744,7.051578480000001,7.1731479600000005,0.2431389599999995,moderate,6.370648752510483
LRS70D,29.60196264,26.0765544,27.83925852,3.525408240000001,moderate,10.579739213372076
LRS70D,30.878373600000003,29.662739760000004,30.27055668000001,1.2156338399999989,moderate,9.109744708298331
LRS70D,31.3343544,30.939333600000005,31.136844000000004,0.3950207999999939,moderate,5.420475313164459
LRS70D,33.218628,31.4254896,32.3220588,1.7931384000000037,severe,10.634694760157384
LRS70D,35.4674424,34.22142,34.8444312,1.246022400000001,moderate,10.594606414434768
