file,ID,breakpoint_1 (sec),breakpoint_2 (sec),breakpoint_1 (vp),breakpoint_2 (vp)
dgh_27800_raw_dp_lrs70.csv,LRS70_D_YSI_20220131,8035.238869673147,52663.62435798796,8.84725920520075,13.085749438105264
dgh_27800_raw_dp_lrs70.csv,LRS70_D_YSI_20220816,7111.640879832969,50202.76934032782,8.047765960538763,12.070426518673829
dgh_27800_raw_dp_lrs70.csv,LRS70_D_YSI_20230822,551.956376540559,50928.06193944497,10.96871887554179,14.228644778256132
dgh_27800_raw_dp_lrs70.csv,LRS70_D_YSI_20251123,5311.264422218623,52318.019409438086,9.979790873581711,14.43815438920242
dgh_27800_raw_dp_lrs70.csv,LRS70_D_YSI_R_20250226,5901.411880575772,52169.93067336026,9.92954515683298,15.44503899161453
dgh_27800_raw_lrs70.csv,LRS70_D_YSI_20220131,8544.216990718112,52702.72688539709,8.694452351756404,12.850997794318015
dgh_27800_raw_lrs70.csv,LRS70_D_YSI_20220816,6789.000672967967,50299.84114082373,7.595877733188765,11.883386285552335
dgh_27800_raw_lrs70.csv,LRS70_D_YSI_20230822,714.1438930387042,50945.11911916923,11.054450734451231,13.550224211607178
dgh_27800_raw_lrs70.csv,LRS70_D_YSI_20251123,8415.413632914919,52262.69923876719,12.129622408793582,14.046682059330214
dgh_27800_raw_lrs70.csv,LRS70_D_YSI_R_20250226,6075.421922820838,52158.57320128397,9.8496599687447,14.735741937038911
dgh_27800_raw_sat51w2p_lrs70.csv,LRS70_D_YSI_20220131,8034.4088957419635,52658.957565455166,8.846711235916274,13.065781916563084
dgh_27800_raw_sat51w2p_lrs70.csv,LRS70_D_YSI_20220816,7055.468864356856,50203.5494056242,7.998579345194143,12.070578331195732
dgh_27800_raw_sat51w2p_lrs70.csv,LRS70_D_YSI_20230822,550.0584330534409,50927.719920004936,10.960402908442074,14.228955240420923
dgh_27800_raw_sat51w2p_lrs70.csv,LRS70_D_YSI_20251123,5304.999242267225,52318.12323055352,9.9712081164479,14.438194911347397
dgh_27800_raw_sat51w2p_lrs70.csv,LRS70_D_YSI_R_20250226,5918.841431142537,52151.5487004337,9.97014173417374,15.41485566560591
dgh_27800_raw_sat51w2p_secuniform_lrs70.csv,LRS70_D_YSI_R_20250226_secuniform,6132.723519659656,51519.91945662139,10.285759986919096,14.20153835542138
dgh_27800_raw_satd_lrs70.csv,LRS70_D_YSI_20220131,8035.251254998438,52663.643044828495,8.847226092423323,13.085837768653438
dgh_27800_raw_satd_lrs70.csv,LRS70_D_YSI_20220816,7107.298298666798,50202.81427046602,8.046203183018951,12.070455558927843
dgh_27800_raw_satd_lrs70.csv,LRS70_D_YSI_20230822,551.9514892712058,50928.06884973969,10.968729072443873,14.228645481309009
dgh_27800_raw_satd_lrs70.csv,LRS70_D_YSI_20251123,5311.214839849163,52316.98405277843,9.97976487955997,14.43507916070239
dgh_27800_raw_satd_lrs70.csv,LRS70_D_YSI_R_20250226,5901.795520203126,52161.68857182068,9.92922790693683,15.4300756687499
dgh_27800_raw_satd_secuniform_lrs70.csv,LRS70_D_YSI_20220131_secuniform,7910.315684442108,52559.57962617004,8.941465464632019,12.863479547439296
