well_id,smoothing,n_optimal_bic,bic_at_optimal,delta_bic_n_plus_1,top_3_robust_depths_m
LRS70D,savgol,7,-16590.335367874737,9.993244810204487,"8.92, 13.27, 4.71"
LRS70D,lowess,8,-18309.57214551375,16.108818933680595,"8.92, 13.27, 4.71"
AW5D,savgol,7,-22077.97019942306,15.173480290326552,"14.07, 14.65, 18.66"
AW5D,lowess,6,-24207.0572329183,222.4909176170695,"14.07, 14.65, 18.66"
AW6D,savgol,10,-19427.220997752018,,"10.75, 17.67, 14.51"
AW6D,lowess,10,-22334.370485995074,,"10.75, 17.67, 14.51"
BW3D,savgol,8,-14165.885347447875,644.8933757068644,"8.71, 12.87, 23.63"
BW3D,lowess,9,-16549.215677635548,14.664914847511682,"8.71, 12.87, 23.63"
LRS69D,savgol,10,-30504.42450804581,,"8.30, 10.77, 15.01"
LRS69D,lowess,10,-34741.205210433254,,"8.30, 10.77, 15.01"
